[-9, -19, 5, 0, -20, 43]
[-8, -16, 3, 0, -18, 42]
[-7, -13, 1, 1, -17, 40]
[-5, -8, 0, 1, -16, 39]
[-3, -6, -1, 1, -15, 37]
[-3, -5, -2, 1, -15, 36]
[-3, -3, -2, 1, -14, 34]
[-3, -2, 0, 1, -14, 33]
[-3, 0, 0, 1, -13, 32]
[-3, 0, 0, 1, -12, 31]
[-3, 0, -1, 1, -12, 30]
[-2, 0, -1, 1, -11, 29]
[-2, 0, -2, 1, -11, 28]
[-2, 0, -2, 1, -10, 27]
[-2, 0, -1, 1, -10, 26]
[-2, 0, -1, 1, -9, 25]
[6, -8, -74, -28, 46, -9]
[12, -1, -82, -32, 54, -7]
[22, 2, -80, -31, 61, -3]
[34, 4, -74, -30, 67, 0]
[46, 3, -66, -29, 70, 4]
[59, 4, -64, -29, 69, 7]
[73, 5, -68, -29, 69, 9]
[87, 9, -77, -30, 68, 10]
[100, 8, -81, -29, 69, 14]
[102, -17, -60, -19, 63, 13]
[113, -12, -62, -22, 62, 13]
[122, -15, -62, -20, 59, 14]
[129, -15, -64, -16, 54, 13]
[132, -17, -59, -12, 49, 13]
[129, -22, -54, -5, 41, 12]
[122, -22, -52, 5, 28, 13]
[111, -25, -50, 14, 14, 15]
[96, -31, -58, 26, 1, 19]
[81, -33, -62, 37, -11, 27]
[68, -34, -66, 31, -16, 35]
[50, -40, -57, 20, -19, 40]
[32, -42, -54, 25, -28, 46]
[21, -38, -50, 29, -35, 52]
[9, -31, -47, 24, -37, 57]
[-3, -31, -44, 15, -36, 62]
[-9, -35, -43, 9, -35, 64]
[-9, -37, -43, 3, -32, 62]
[-9, -34, -39, -1, -27, 59]
[-8, -29, -32, -3, -22, 57]
[-7, -25, -27, -4, -19, 56]
[-7, -21, -24, -3, -16, 54]
[-13, -23, -2, -8, -15, 50]
[-10, -14, -3, -8, -15, 48]
[-8, -12, -4, -8, -13, 46]
[-7, -8, -5, -7, -12, 44]
[-5, -3, -5, -6, -12, 43]
[-4, 0, -6, -6, -11, 41]
[-3, 1, -6, -5, -11, 40]
[-3, 3, -4, -5, -11, 38]
[-3, 3, -4, -5, -10, 37]
[-2, 4, -5, -4, -10, 35]
[-2, 5, -5, -4, -9, 34]
[-1, 6, -5, -4, -9, 33]
[-1, 6, -5, -4, -9, 32]
[-1, 7, -5, -3, -8, 31]
[-1, 8, -5, -3, -8, 30]
[-1, 8, -5, -3, -8, 29]
[-1, 8, -5, -3, -7, 28]
[-1, 8, -5, -3, -7, 27]
[0, 8, -5, -3, -7, 26]
[5, 2, -86, -24, 58, -11]
[15, 8, -88, -24, 66, -7]
[26, 9, -83, -24, 73, -1]
[39, 6, -76, -22, 78, 4]
[53, 2, -69, -21, 80, 9]
[69, -3, -66, -22, 81, 11]
[93, -15, -52, -18, 71, 11]
[125, -25, -50, -5, 48, 12]
[121, -27, -49, 4, 35, 11]
[112, -29, -51, 13, 21, 12]
[102, -34, -59, 24, 7, 15]
[90, -36, -65, 29, -5, 20]
[76, -46, -66, 29, -14, 25]
[61, -50, -62, 33, -23, 30]
[48, -52, -59, 34, -30, 35]
[37, -53, -52, 32, -34, 40]
[26, -51, -46, 31, -37, 44]
[17, -50, -40, 29, -38, 48]
[10, -47, -33, 27, -38, 51]
[4, -44, -26, 25, -38, 53]
[0, -40, -21, 24, -38, 55]
[-2, -37, -17, 22, -36, 56]
[-4, -34, -14, 20, -32, 56]
[-5, -30, -11, 16, -28, 54]
[-5, -26, -8, 11, -24, 52]
[-6, -23, -5, 9, -20, 51]
[-6, -20, -3, 7, -17, 49]
[-9, -16, 5, 2, -14, 47]
[-10, -15, 12, 0, -14, 44]
[-9, -12, 7, 0, -14, 42]
[-7, -9, 4, 0, -13, 40]
[-5, -6, 2, 1, -13, 39]
[-4, -4, 1, 2, -12, 38]
[-4, -2, 1, 1, -12, 36]
[-4, -1, 2, 1, -11, 35]
[-4, 0, 3, 1, -11, 33]
[-4, 0, 2, 1, -10, 32]
[-3, 1, 2, 1, -10, 31]
[-3, 1, 1, 1, -10, 30]
[-3, 1, 1, 1, -9, 29]
[-3, 2, 1, 1, -9, 28]
[-3, 3, 1, 1, -9, 27]
