-28,-39,-50,-60,-70,-80,-87,-72,-63,-48,-33,-20,-6,0,1,0,0,2,7,13,20,26,28,30,31,29,28,27,25,23,22,20,18,17,16,15,14,13,12,11,10,9,9,8,7,6,6,5,5,4
-28,-39,-50,-60,-70,-79,-63,-51,-36,-22,-9,3,8,8,8,8,9,14,22,31,37,39,40,41,42,38,36,35,33,31,28,27,25,23,21,20,19,17,16,15,14,13,12,11,10,9,8,8,7,6
-19,-30,-41,-52,-62,-72,-79,-65,-55,-40,-26,-13,0,4,8,12,17,24,31,35,36,36,36,37,37,32,30,28,25,24,22,21,19,18,17,16,14,13,12,11,10,9,8,8,7,6,5,5,4,4
-19,-29,-41,-51,-62,-71,-78,-69,-57,-42,-28,-14,-1,10,11,13,19,23,26,30,29,31,32,32,32,27,25,24,22,20,19,17,16,15,14,13,12,11,10,9,8,7,6,6,5,4,4,3,3,2
-20,-30,-41,-52,-62,-72,-80,-70,-55,-40,-26,-13,0,2,2,7,13,20,25,28,30,29,31,32,35,31,28,26,24,23,21,20,19,17,16,15,13,12,11,11,10,9,8,7,7,6,5,5,4,3
-21,-33,-44,-55,-65,-74,-72,-61,-50,-35,-21,-8,3,6,9,12,14,19,23,25,27,29,29,29,28,24,22,21,19,18,17,15,14,13,12,11,10,9,8,8,7,6,6,5,4,4,3,3,2,2
-23,-34,-45,-56,-66,-76,-83,-84,-70,-61,-46,-31,-18,-5,6,6,7,8,12,16,23,28,33,34,37,39,37,36,32,29,28,26,24,22,21,19,18,16,15,14,13,12,11,10,9,8,7,7,6,5
-25,-34,-45,-55,-65,-75,-84,-84,-72,-61,-49,-34,-20,-7,0,5,6,6,9,13,18,24,28,30,32,32,33,33,31,29,27,25,23,22,20,19,18,17,16,14,13,12,11,10,9,8,8,7,6,5
-10,-21,-31,-42,-53,-63,-72,-76,-69,-54,-45,-31,-17,-4,7,16,11,10,10,11,14,18,23,26,28,31,32,32,34,34,32,31,29,27,25,23,21,19,18,17,16,15,13,12,11,10,9,8,7,6
-20,-31,-43,-53,-64,-73,-82,-77,-61,-50,-35,-22,-8,3,6,5,4,5,8,13,20,28,32,38,41,42,42,38,36,35,32,29,27,25,23,22,21,20,18,17,16,15,14,13,12,11,10,9,8,8
