[0, -157, -154, -190, -228, -220, -198, -192, -81, 69, 148, 164, 158, 137, 123, 94, 59, 41, 23, 16, 16, 9, 7, -26, -39, -56, -62, -67, -60, -49, -54, -55, -51, -43, -33, -23, -17, -15, -15, -15, -15, -14, -12, -13, -14, -14, -13, -13, -13, -13, -12, -12, -11, -11, -12, -11, -10, -11, -11, -11, -10, -10, -11, -10, -10, -10, -10, -10, -11, -10, -10, -10, -11, -10, -10, -11, -10, -9, -8, -8, -7, -7, -8, -9, -10, -10, -9, -8, -8, -8, -8, -8, -8, -9, -9, 0, 0, 0, 0, 0]
[-1, -41, -143, -202, -201, -153, -70, -13, 19, 16, -28, -94, -170, -176, -221, -244, -231, -227, -85, 38, 132, 175, 161, 125, 113, 104, 83, 63, 39, 20, 18, 32, 5, -2, 1, -11, -51, -43, -33, -35, -30, -28, -26, -24, -18, -14, -9, -7, -8, -8, -8, -7, -5, -4, -3, -2, -2, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[-52, -140, -197, -184, -128, -42, 12, 32, 39, 2, -66, -81, -169, -137, -161, -213, -227, -244, -221, -109, 41, 133, 181, 205, 186, 148, 132, 78, 29, 5, -5, -1, 20, 46, 38, 6, -31, -39, -42, -41, -42, -42, -44, -43, -37, -27, -19, -14, -11, -6, -3, -2, -2, -2, -3, -4, -3, -2, -2, -1, -2, -3, -5, -5, -4, -5, -6, -6, -6, -7, -7, -6, -5, -4, -4, -4, -5, -5, -6, -6, -6, -5, -5, -4, -4, -4, -4, -5, -5, -5, -5, -6, -6, -6, 0, 0, 0, 0, 0, 0]
[-5, -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, -62, -125, -148, -127, -71, -8, 51, 21, -21, -59, -135, -179, -165, -215, -237, -233, -233, -176, -108, 42, 134, 75, 28, -32, -61, -69, -39, -30, -43, -44, -40, -34, -24, -17, -9, -7, -8, -7, -4, -3, -4, -5, -6, -6, -7, -7, -6, -5, -5, -6, -5, -5, -6, -5, -4, -4, -4, -4, -5, -4, -4, -4, -4, -4, -4, -4, -4, -4, -4, -3, -3, -4, -4, -4, -4, -5, -4, -4, -4, -4, -3, -2, -2, -3, -3, -3, -4, -5, -4, -4, -5, -4, -3, -3, 0, 0, 0, 0, 0]
[-23, -57, -152, -206, -208, -159, -84, 4, 41, 57, 36, -18, -89, -164, -192, -180, -222, -244, -221, -201, -146, -33, 95, 161, 192, 170, 137, 116, 71, 44, 40, 29, 15, 18, 11, -18, -32, -44, -57, -75, -60, -42, -43, -38, -31, -23, -19, -14, -16, -18, -17, -18, -18, -18, -18, -17, -16, -16, -15, -15, -14, -12, -12, -12, -13, -13, -13, -13, -13, -12, -13, -13, -13, -12, -12, -12, -12, -12, -13, -14, -14, -13, -12, -11, -12, -13, -12, -12, -12, -13, -13, -13, -13, -13, -13, -13, -13, -13, -12, -12]
[-37, -59, -123, -170, -156, -120, -61, 0, 37, 30, -10, -58, -88, -176, -177, -212, -239, -239, -208, -179, -67, 78, 152, 189, 166, 119, 107, 78, 62, 51, 51, 32, 29, 28, 4, -6, -17, -28, -36, -34, -39, -47, -44, -41, -39, -37, -36, -33, -30, -27, -23, -21, -21, -21, -20, -19, -20, -20, -19, -19, -20, -20, -20, -20, -18, -17, -17, -18, -19, -18, -18, -17, -17, -17, -17, -16, -16, -16, -16, -17, -17, -17, -17, -18, -18, -18, -18, -19, -18, -18, -17, -16, -16, -16, -16, -16, -17, -17, -16, -17]
[-18, -76, -117, -128, -123, -94, -34, 10, 22, 11, -4, -51, -97, -165, -215, -241, -240, 48, 31, 2, -47, -46, -55, -71, -65, -64, -70, -64, -60, -55, -47, -37, -29, -25, -25, -24, -24, -25, -25, -25, -26, -26, -27, -27, -26, -26, -26, -26, -26, -25, -25, -26, -26, -24, -22, -21, -20, -19, -19, -20, -21, -21, -21, -23, -23, -24, -22, -21, -20, -20, -19, -19, -19, -19, -19, -19, -18, -18, -18, -17, -17, -18, -18, -18, -18, -18, -19, -19, -19, -19, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[-19, -19, -6, -15, -35, -58, -156, -40, 49, 81, 71, 36, 19, 11, 10, 15, 17, 10, -1, -24, -24, -30, -16, -9, -16, -22, -39, -45, -47, -43, -36, -32, -31, -29, -25, -22, -20, -21, -21, -22, -23, -24, -24, -23, -23, -23, -24, -24, -24, -23, -22, -21, -20, -19, -19, -19, -18, -18, -18, -16, -16, -17, -17, -18, -18, -19, -19, -19, -19, -19, -19, -19, -19, -19, -18, -18, -18, -19, -18, -19, -19, -18, -18, -18, -18, -17, -17, -18, -18, -17, -18, -18, -18, 0, 0, 0, 0, 0, 0, 0]
